"productora","n","weighted_mean_votos","weighted_mean_beneficios","weighted_mean_popularidad"
"Aldamisa Entertainment",3,5.94580545548122,-15861407.6666667,39.281839
"Big Kid Pictures",3,6.06899600084193,19952476,39.2792186666667
"Demarest Films",4,5.95934844192635,-1750665.75,39.2410415
"Forward Pass",6,6.37977410034148,88139233.5,39.1959915
"Goldmann Pictures",3,5.60740740740741,47823425.3333333,39.1513176666667
"BenderSpink",12,6.4541004613019,63870827.25,39.0200876666667
"Crystal Sky Pictures",3,5.09105919003115,67722391.3333333,38.9984013333333
"Dune Entertainment",59,6.32635947969288,165703460.79661,38.8931792542373
"ImageMovers",9,6.69582923055282,133148865.888889,38.8175434444444
"New Legacy",2,6.15269320843091,63629673,38.6604345
"The Department of Trade and Industry of South Africa",2,7.26057971014493,80409805.5,38.6595405
"Yucaipa Films",2,6.14979326639102,93074197,38.5729005
"Village Roadshow Pictures",81,6.73487265243118,97846216.8888889,38.3937152592593
"Bandito Brothers",2,6.14305627258647,103275201,38.3864725
"Nitrogen Studios Canada",2,5.55559350982067,56419197.5,38.326835
"Anton Capital Entertainment (ACE)",6,6.75921960072595,66749921.1666667,38.3058751666667
"Good Universe",3,6.05577000402091,143439457,38.2313033333333
"Pearl Street Films",2,5.9094040247678,144311851,38.104794
"Motel Movies",2,7.30357529794149,38060532.5,38.0882375
"Troublemaker Studios",8,6.42033560197137,43787721.625,37.9406575
"Saints LA",2,5.36239682054418,117189108,37.9230525
"Weed Road Pictures",8,6.59675861103332,182584914,37.878450625
"Reliance Entertainment",9,6.83461301738729,107106262.555556,37.8685236666667
"Dark Horse Entertainment",9,6.11615724381625,69585516.5555556,37.8624906666667
"Sony Pictures Releasing",5,5.8144262295082,103212056.4,37.8049214
"Voltage Pictures",4,7.13603330809992,17878689.25,37.670398
"Silver Pictures",33,7.00576824717271,97779630.3636364,37.5382899393939
"The Mirisch Corporation",2,7.90596721311475,14930311.5,37.1856435
"Straight Up Films",2,5.84476744186046,-10281729,37.1624815
"Bedlam Productions",2,7.44030534351145,199605774.5,37.159547
"Amen Ra Films",5,6.16987295825771,46739332.2,37.1409694
"Zide-Perry Productions",7,6.09657485875706,125615547.142857,37.132632
"Aperture Entertainment",2,5.54367666232073,152761855,37.125349
"Kramer & Sigman Films",2,6.57295110798452,43823640.5,37.1235905
"WV Films IV",2,7.3427121102248,193821840.5,37.120677
"Los Hooligans Productions",3,6.75467069892473,16841794,37.0760036666667
"Aegis Film Fund",2,7.50473751600512,206385911.5,36.7323585
"China Film Co-Production Corporation",6,6.41654663923183,162180248.333333,36.6677623333333
"Haunted Movies",2,6.59211723092471,47587516,36.549589
"Envision Entertainment Corporation",3,6.78530204962244,47979058.6666667,36.4852853333333
"Verisimilitude",2,7.07396907216495,10411040,36.4752635
"Walt Disney Productions",7,6.94888924661945,94735836.2857143,36.3820872857143
"Radical Media",3,6.2469362745098,38882487,36.316527
"Warner Bros.",319,6.9707605344296,96638727.0376175,36.2471542633229
"WV Films III",3,6.21608239971088,126049668.666667,36.205926
"Animal Logic",4,6.88583521444695,200029052,36.05754175
"Marc Platt Productions",11,6.7511369871365,74894319.1818182,35.969424
"Chockstone Pictures",4,6.00211106011932,20975576.25,35.91079775
"Digital Image Associates",3,6.99419934640523,141419019.333333,35.7974466666667
"Inside Track Films",2,6.28905472636816,60841931.5,35.781318
"Chambara Pictures",2,6.26014799154334,42305813,35.720522
