"actor","n","weighted_mean_votos","weighted_mean_beneficios","weighted_mean_popularidad"
"Kim Basinger",15,5.1,29022014,19.642328
"Michael Massee",8,7.2,40100000,19.524972
"Ed Asner",7,6.4,-18030807,19.494703
"Henry Simmons",4,6.8,13560274,19.411141
"Alexandra Bokyun Chun",2,6.6,29862187,19.284129
"Colleen Dewhurst",4,7,37106245,19.258041
"Elizabeth Banks",27,7,56706993,19.195399
"Dennis Franz",6,7.4,10200000,19.127239
"Dan Harris",2,6.7,5304609,19.107285
"Robert Davi",9,7,46296293,19.068175
"John Leguizamo",30,7.3,20550513,19.052179
"Alan Rickman",20,6.5,67991835,18.961323
"John Michael Higgins",21,6.8,42191886,18.923181
"Hank Amos",4,6.2,33527873,18.913
"Jennifer Jason Leigh",14,6,15452643,18.896239
"Jake Thomas",2,5.7,69181830,18.831023
"Chris Rankin",4,5,33375151,18.735024
"Jon Seda",4,7.6,7270000,18.644023
"Odessa Rae",2,5.8,45464324,18.632156
"Robin Curtis",2,5.4,76431368,18.600367
"John Standing",6,6.6,14936908,18.514292
"Russ Fega",5,6.1,88921203,18.422323
"Jack Kehoe",3,6,61608995,18.39217
"Charlie Korsmo",3,5.9,13174566,18.380176
"Willie Garson",11,7.4,2827813,18.366362
"Sela Ward",8,5.6,9.4e+07,18.264635
"Jamey Sheridan",5,6.9,20811672,18.236284
"Gaye Brown",2,6.3,-71626175,18.172736
"Catherine Hicks",4,5.6,121269535,18.121404
"Mickey Rourke",23,6.9,21888376,18.077963
"Glenn Morshower",18,6.4,0,17.98817
"Udo Kier",17,7.5,20170784,17.746981
"Anna Chancellor",7,6.4,72615211,17.746719
"Hugh Grant",20,6.8,47600000,17.717681
"Karen Allen",9,7.4,51004069,17.705671
"Frank Harper",6,7.6,5600000,17.639478
"Conrad Bergschneider",4,6.3,-7004189,17.611971
"Jodelle Ferland",7,6.4,-5155021,17.603823
"Jacob Smith",4,6.9,61286096,17.50138
"Brock Peters",5,6.7,71626121,17.457947
"Robin Williams",34,5,56159423,17.455024
"Susan Blommaert",4,7.2,25729221,17.363739
"Angela Paton",3,5.9,49935764,17.270539
"Alice Eve",8,6,-2575000,17.237143
"Anne Bancroft",10,7.7,19889877,17.234745
"Julian Richings",14,5.8,66969216,17.231675
"Ken Foree",4,6.1,-7601372,17.227376
"Morris Chestnut",21,6.3,14053061,17.17372
"Sara Rue",3,5.8,65500000,17.113408
"Monica Potter",7,6.4,39437847,16.936576
"Steven Mackintosh",9,7,61457682,16.92991
"Naomi Watts",23,5.7,-13069116,16.883429
"Greg Bryk",4,6.3,4.4e+07,16.871194
"Emma Field-Rayner",2,5.1,23872033,16.856231
"Henry Fonda",5,6.3,-40540573,16.848899
"Mink Stole",4,5.4,-47781920,16.803457
"Jerry Mofokeng",2,6.2,-9713701,16.785866
"Alexandra Daddario",6,5.5,12400000,16.668854
"Anthony Michael Hall",5,7.3,77242962,16.595874
"Alfred Hitchcock",4,5.5,125362582,16.582709
"Aron Warner",3,6.3,-13447540,16.473355
"Greg Travis",2,5.4,104195920,16.470895
"Kerry Walker",3,5.2,92290266,16.302378
"Edward Norton",24,7.3,121615285,16.245068
"Victor Wong",8,6.3,167833357,16.234053
"Paul Sanchez",4,6,6714147,16.167093
"Frank Miller",2,6.8,-3877439,16.139771
"John Hallam",4,6.3,211394,16.074397
"Calvin Lockhart",2,5.7,-29125385,16.058284
"Scott Speedman",10,7.5,2547569,16.032594
"Rodolphe Pauly",2,8,8690000,16.015599
"Vik Sahay",2,5.8,-5e+07,15.931084
"Fenella Woolgar",7,6.6,6541790,15.676123
"Paul Guilfoyle",16,7.6,30795445,15.580335
"Ernie Hudson",10,6.3,261288605,15.401855
"Scarlett Johansson",28,7.5,11737911,15.355589
"Melora Hardin",6,7.7,-1e+07,15.280261
"Joe Pesci",12,6.6,19237563,15.274137
"Reiley McClendon",2,5.6,54817939,15.26213
"Selena Gomez",11,4.8,-3136417,15.131867
"Lily Tomlin",8,7.2,27281507,15.085981
"Bill Pullman",20,5.9,159015089,15.064058
"Kylie Minogue",5,7.2,0,15.046612
"Jazzie Mahannah",2,6.2,-2.2e+07,14.925633
"Philip Tan",3,7.6,6200000,14.884756
"Bjarne Henriksen",2,6.7,61336445,14.824166
"Gene Hackman",25,6.4,8.2e+07,14.779041
"John Roselius",2,5.9,103754278,14.759948
"Jonny Lee Miller",7,6.1,59282312,14.752587
"Ice Cube",23,6.6,49516304,14.530803
"Michael Champion",3,6.4,20378361,14.518598
"Kayvan Novak",3,5.2,34307224,14.503568
"Ewen Bremner",14,6.6,84937680,14.486311
"Duane Whitaker",5,5.6,81196419,14.447723
"Toshiro Mifune",3,6.3,-38245366,14.44381
"Zak Penn",2,5.4,-4e+07,14.398356
"Philip Winchester",2,5.4,-671604,14.386807
"Hugo Speer",2,6.3,69137784,14.382253
"Lukas Haas",12,6.8,-1568000,14.370111
"Lee Arenberg",3,6.4,0,14.211699
"Julie Dreyfus",4,5.8,-24958633,14.209329
"Lane Chandler",2,7.3,0,14.142073
"Lawrence Makoare",3,6.5,40909486,14.042041
"Kate Hudson",18,7.2,-4290845,13.960945
"Edgar Wright",2,4.6,62772742,13.786075
"Margaret Cho",3,5.6,-8e+06,13.715715
"John McLiam",2,5.7,-18146652,13.630049
"Sean Young",5,6.7,49256513,13.581966
"Chris Tucker",7,6.4,68310,13.576765
"Ian Hart",7,5.7,-1.3e+07,13.525704
"David Zayas",8,5.9,2629321,13.517017
"Abe Vigoda",3,4.6,-31370522,13.483387
"Anthony Nicholls",2,5.6,18133014,13.472365
"William Hurt",19,6.9,23697647,13.455373
"Donald Crisp",4,6.8,28814580,13.437038
"Beverly D'Angelo",9,7.6,7e+06,13.338539
"Rainn Wilson",12,5.9,140663859,13.318744
"Scott Coffey",2,4.6,9627779,13.210898
"Sara Stewart",5,6.6,-15998879,13.032308
"Diane Kruger",12,5.7,-38237989,12.948627
"DeRay Davis",11,6.2,-9300000,12.928269
"Mary Steenburgen",17,6.1,-15565274,12.869436
"Kevin McKidd",9,7.2,8413606,12.821329
"Brian Palermo",4,8,-4e+06,12.781973
"Charles Bronson",2,7.4,-2.1e+07,12.761176
"Rip Torn",14,5,-10951367,12.752463
"Mr. T",4,7.4,-6e+06,12.541983
"Brenda Hillhouse",2,6.7,0,12.467267
"Ludger Pistor",5,7.1,33400000,12.439495
"Karin Viard",2,6.1,47301471,12.373248
"Lisa Jakub",3,6.1,-4.5e+07,12.362876
"Tsai Chin",4,5.4,0,12.295216
"Courteney Cox",11,4.9,129281606,12.25264
"Eunice Gayson",2,5.6,58527595,12.159009
"Boyd Kestner",3,6.3,-6e+06,12.099486
"Gladys Knight",2,5,11900000,12.030456
"Michael Rapaport",18,7.1,0,11.872841
"Jürgen Tarrach",2,5,30795814,11.859396
"Garry McDonald",2,4.4,-9156392,11.782725
"Max Cullen",4,3.7,-15054400,11.725805
"Saffron Burrows",8,5.5,29870414,11.678561
"John Fujioka",2,6.7,-7500000,11.636883
"Sophie Marceau",3,6.2,13801187,11.500783
"Maximilian Schell",7,6.7,91879513,11.47316
"Thora Birch",7,5.4,-9831030,11.470135
"Tony Pierce",2,6.6,-4096154,11.429607
"Keith Richards",4,7.3,31564473,11.414843
"Lorraine Bracco",5,5.8,20007180,11.375032
"Eva Marie Saint",5,7.3,-9313159,11.352693
"Frank John Hughes",3,5.9,-5.5e+07,11.329727
"Jennifer Saunders",4,6.4,61778712,11.227087
"Marlon Wayans",12,5.4,-60519261,11.22268
"Michael Ironside",9,6.6,-34682442,11.215702
"Selma Blair",14,7,-5e+06,11.21273
"Paul Stewart",3,6.8,25399000,11.208769
"John Hannah",9,4.9,0,11.199544
"Eric Bogosian",10,6.3,13642838,11.183197
"Geoffrey Holder",4,5.7,16472057,11.158167
"Claire Forlani",13,7.3,5500000,11.145915
"Thandie Newton",15,5.5,44309766,11.135734
"Peter Burton",2,4.4,63309743,11.106006
"Hans Meyer",2,6.5,-1746585,11.090254
"Arthur Kennedy",2,6.2,14541707,10.99991
"William Hope",5,5.8,38880016,10.81051
"Gil Bellows",6,6.6,-16682849,10.73522
"Celia Weston",22,6,11786738,10.733761
"Jeanne Tripplehorn",6,5.9,8854588,10.731574
"Chris Taloa",2,4.8,-16478171,10.694417
"Lionel Abelanski",2,3.7,54646831,10.608998
"Stephi Lineburg",2,6.8,-8142633,10.573191
"Vanessa Evigan",2,7,-2563491,10.50098
"Katharine Ross",3,5.3,15102717,10.484642
"Charlton Heston",14,5.9,8e+05,10.47644
"Linda Harrison",2,5.4,33472850,10.449975
"Helmut Bakaitis",2,6.8,53472904,10.439971
"Jamie Sives",4,6.7,-8329380,10.433667
"Honor Blackman",2,5.3,21779000,10.430832
"Tantoo Cardinal",3,7.3,0,10.396305
"Jane Seymour",4,6.9,0,10.178917
"Karin Dor",3,3.6,28548426,10.098722
"Larry Hankin",4,5.6,-3244258,10.032626
"Harry Lennix",13,7.1,875097,10.009994
"Gerry Bamman",5,5.4,-24568887,10.004564
"Götz Otto",3,6.7,-3.2e+07,9.976428
"Ricky Jay",9,6.4,0,9.87419
"Spencer Treat Clark",7,6.8,-1083075,9.856826
"Alanna Ubach",8,5.5,48535067,9.832326
"Kim Darby",2,6.3,15554533,9.829859
"James Kirchner",4,6.5,-9704250,9.805551
"Treat Williams",14,6,28215872,9.789027
"Adam Brody",13,6,-10795071,9.607391
"Jack Elam",4,6.1,-4e+07,9.579975
"Verne Troyer",8,5,10116634,9.483717
"Tommy Lee Jones",24,5.4,-6380391,9.448517
"Judith Godrèche",3,5.6,-33551615,9.419726
"Jean Marsh",2,4.7,-1177654,9.400404
"Bruce Campbell",21,5.9,12768757,9.302349
"Mimi Rogers",7,6.8,20277485,9.254647
"Bonnie Wright",6,5.9,52411275,9.18885
"Ricco Ross",2,6.9,-1.2e+07,9.164386
"Christine Baranski",14,5.6,37970014,9.125594
"Simon McBurney",11,6.4,0,9.085482
"Ellen Pompeo",3,6.2,-18161090,9.07278
"Joseph Fiennes",11,6.6,4742066,8.999675
"Noble Willingham",4,6.5,-10988950,8.982335
"Gene LeBell",2,5.7,-23127329,8.980846
"Bebe Neuwirth",7,6.2,0,8.945081
"Seth Green",22,6.8,-69833498,8.923215
"Matthew Whittet",2,4.4,24574362,8.885017
"Conchata Ferrell",9,6.2,-2800000,8.870614
"Kenneth Tsang",6,5.3,0,8.864368
"Chow Yun-fat",9,6.4,10625401,8.775844
"Mark Pellington",3,6.3,-2.5e+07,8.618208
"Aaron Stanford",6,6.8,6133747,8.526635
"George Dzundza",4,4.5,-39255262,8.468586
"Donald Hotton",2,5.5,7232628,8.452666
"Martin Benson",3,7.3,-2.5e+07,8.450513
"Owen Wilson",40,7.6,21550000,8.38717
"Ticky Holgado",2,7.3,0,8.326131
"Jamie Lee Curtis",14,5.2,-18326578,8.31653
"Lillo Brancato",3,7,27402877,8.305998
"Roberta Maxwell",4,6.6,-8851818,8.290636
"Ivan Kane",5,6.1,0,8.288813
"Henry Ian Cusick",3,5.6,-1.8e+07,8.266124
"Alexa Gerasimovich",2,4.3,-2.5e+07,8.212018
"Sarah Michelle Gellar",15,5.2,-40148390,8.189406
"Frank Morgan",2,5.5,-20935505,8.186936
"Bonnie Henna",2,3.9,0,8.148187
"Branka Katic",2,3.9,-37235799,8.139676
"Gary Lewis",8,6.8,0,8.109958
"Shelby Young",2,6.3,0,8.067702
"Samia Shoaib",2,5.1,63772522,8.058109
"Elizabeth Perkins",9,7.2,9726954,7.958831
"Peter Donat",2,5.8,0,7.864905
"Cary-Hiroyuki Tagawa",17,5.6,-9800895,7.832337
"Jim Backus",2,7.1,6003587,7.792851
"Isaac C. Singleton Jr.",2,5.7,-45549103,7.768223
"John Diehl",9,5.7,-16700508,7.739276
"Hugh Jackman",27,7.1,-2.7e+07,7.727035
"Sam Waterston",5,5,2165608,7.679336
"Matt McColm",5,6,0,7.594593
